grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Failure in separation of the homologous chromosomes due to meiotic error is known as __________",Polyploidy,N,Disjunction,N,Nondisjunction,Y,"All of these",N,"Correct answer is ""Nondisjunction"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","A change in normal chromosome number is called __________",Heteroploidy,Y,disjunction,N,Nondisjunction,N,"All of these",N,"Correct answer is ""Heteroploidy"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","A condition in which species have more than two of every homologous chromosomes is called ________",Polyploidy,Y,Disjunction,N,Nondisjunction,N,"All of above",N,"Correct answer is ""Polyploidy"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","The number of one or more chromosomes may change during formation of a new individual. Such change is called _________",Polyploidy,N,Aneuploid,Y,Nondisjunction,N,"All of above",N,"Correct answer is ""Aneuploid"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Mongoloid has an extra chromosome attached to pair",9,N,14,N,20,N,21,Y,"Correct answer is ""21"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Down syndrome is __________",Monosomic,N,Disomic,N,"Trisomy 21",Y,"None of these",N,"Correct answer is ""Trisomy 21"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","_________ show greater risk of having Down’s syndrome children ","Young Mothers",N,"Older Mothers",Y,"Young fathers",N,"Older fathers",N,"Correct answer is ""Older Mothers"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Combination of _________ results in Klinefelter’s syndrome",XXX,N,XXY,Y,XO,N,XXO,N,"Correct answer is ""XXY"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Combination of ________ results in Turner’s syndrome",XXX,N,XXY,N,XO,Y,XXO,N,"Correct answer is ""XO"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Females are mentally normal but weak in mathematics; is found in females having _________ syndrome",Klinefelter’s,N,Turner’s,Y,"Down syndrome’s",N,"All of these",N,"Correct answer is ""Turner’s"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","In men having __________ syndrome breasts develop but testes remain small with no sperm formation.",Klinefelter’s,Y,Turner’s,N,"Down syndrome’s",N,"All of these",N,"Correct answer is ""Klinefelter’s"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","One of this trait is not seen in a person with Down syndrome","High muscle tone",Y,"Small stature",N,"Upward slant eye",N,"Short neck",N,"Correct answer is ""High muscle tone"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","The number of chromosomes a child with Down syndrome has is",45,N,46,N,47,Y,48,N,"Correct answer is ""47"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","Down syndrome is caused due to","bacterial infection",N,"a chromosomal abnormality",Y,"Viral infection",N,"lack of oxygen supply to the brain during birth",N,"Correct answer is ""a chromosomal abnormality"""
12,Biology,"CHROMOSOME AND DNA","Chromosomal Mutation","Chromosomal Mutation","The average intelligence quotient (IQ) of children with DS is around ",10,N,50,Y,90,N,80,N,"Correct answer is ""50"""
