grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,Oscillations,Oscillations,"Simple Pendulum","Pendulum is called a second pendulum if it takes ________ second to complete one oscillation. ",One,N,Two,Y,Three,N,Four,N,"Correct answer is ""Two"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","Suppose the bob is at its lowest position at point O. its potential energy is _________. ",minimum,Y,maximum,N,average,N,"equilibrium position",N,"Correct answer is ""minimum"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","The maximum displacement of the bob from its mean position OA and OB is called _________. ",acceleration,N,velocity,N,amplitude,Y,"time period",N,"Correct answer is ""amplitude"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","The velocity of the bob is maximum at its _________ position. ",highest,N,lowered,N,mean,Y,equilibrium,N,"Correct answer is ""mean"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","A second pendulum is used in the clock to record __________. ",time,Y,vibrations,N,velocity,N,amplitude,N,"Correct answer is ""time"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","Friction reduces the mechanical energy of the system as time passes, then the motion is said to be __________.",translatory,N,rotatory,N,vibratory,N,damped,Y,"Correct answer is ""damped"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","Shock absorber is the practical application of __________.",translator,N,Rotatory,N,Vibratory,N,Damped,Y,"Correct answer is ""Damped"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","The ratio of frequencies of two pendulums is 2:3 then their lengths are in ratio _________.",2:3,N,4:3,N,9:2,N,9:4,Y,"Correct answer is ""9:4"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","The velocity of particle executing SHM at mean position is ________.",maximum,Y,minimum,N,zero,N,"none of these",N,"Correct answer is ""maximum"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","The time period of second pendulum is ________.","1 sec",N,"1.5 sec",N,"2 sec",Y,"none of theses",N,"Correct answer is ""2 sec"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","In S.H.M _________.","total energy remains constant",Y,"potential energy remains constant",N,"total momentum remain constant",N,"kinetic energy remains constant",N,"Correct answer is ""total energy remains constant"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","A pendulum has a time of 2 sec on earth. Find its new time period of mass where gravity is 1/9 times of g.","\(2\sqrt{6}\text{\ sec}\)",N,"\(6\ sec\)",Y,"\(\sqrt{6}\sec\)",N,"\(\sqrt{9}\text{\ sec}\)",N,"Correct answer is ""\(6\ sec\)"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","What is the length of a second’s pendulum?","2 m",N,"1 m",Y,"1.99 m",N,"2.99 m",N,"Correct answer is ""1 m"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","What will be the percentage increase in the time period when the length of pendulum doubles?",40%,N,41%,Y,141%,N,14%,N,"Correct answer is ""41%"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","Acceleration of pendulum is ___________.","g sin θ",Y,"g cos θ",N,"2g sin θ",N,"2g cos θ",N,"Correct answer is ""g sin θ"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","In SHM of a simple pendulum, the component of weight, which is directed towards mean position, is",mgcosθ,N,mgsinθ,Y,mgtanθ,N,"none of these",N,"Correct answer is ""mgsinθ"""
11,Physics,Oscillations,Oscillations,"Simple Pendulum","If the length of the simple pendulum becomes four times, time period of motion becomes ________.","Four times",N,"Six change",N,"Two times",Y,"Nine times",N,"Correct answer is ""Two times"""
