grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Physical Optics","Physical Optics",Polarization,"Evidence of transverse nature of light is ___________.",interference,N,polarization,Y,diffraction,N,reflection,N,"Correct answer is ""polarization"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Sound cannot ___________.",interfere,N,"be polarized",Y,reflect,N,"none of these",N,"Correct answer is ""be polarized"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"How is polarized light produced from an un-polarized light?","By passing through a prism",N,"Through two slits",Y,"Through a single slit",N,"Through a glass plate",N,"Correct answer is ""Through two slits"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Transverse nature of light can be explained by:",Interference,N,Diffraction,N,Polarization,Y,Reflection,N,"Correct answer is ""Polarization"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Light having single wavelength or frequency is called:",Non-monochromatic,N,Monochromatic,Y,Coherent,N,"None of these",N,"Correct answer is ""Monochromatic"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Which one of the following wave cannot be polarized?",X-rays,N,"Sound waves",Y,"Radio waves",N,"Ultraviolet rays",N,"Correct answer is ""Sound waves"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Plane polarized light can be produced by:","Double refraction and simple reflection",Y,"Circular polarization and by scattering",N,"All of the above",N,"None of the above",N,"Correct answer is ""Double refraction and simple reflection"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"The intensity of a polarized light is",Maximum,N,Minimum,N,"Remains constant",Y,"None of the above",N,"Correct answer is ""Remains constant"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Which of the following is used to plane polarize light","A sheet with small opening",Y,"A thick glass sheet",N,"A Plano-convex lens",N,"A paper sheet",N,"Correct answer is ""A sheet with small opening"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"If the distance between a point source of light and a surface is tripled, the intensity of illumination on the surface will be",Tripled,N,Doubled,N,"Reduced to 1/2",N,"Reduced to 1/9",Y,"Correct answer is ""Reduced to 1/9"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"Polarization of light rays afford a convincing evidence of its:","Transverse nature",Y,"Longitudinal nature",N,"Quantum nature",N,"Dual nature",N,"Correct answer is ""Transverse nature"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"A linearly polarized wabe is always __________","In x-y plane",N,"A Transverse wave",Y,"A Longitudinal wave",N,"In y-z plane",N,"Correct answer is ""A Transverse wave"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"The direction in which the electric vectors oscillate in a polarized wave is called as _______","Polarizing axis",N,"Plane of polarization",N,"Pass axis",Y,"Propagating axis",N,"Correct answer is ""Pass axis"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"A window which can transmit all the incident light without any reflection is called as ___________","Polarized Window",N,"Malus Window",N,"Brewster Window",Y,"Non-reflecting window",N,"Correct answer is ""Brewster Window"""
11,Physics,"Physical Optics","Physical Optics",Polarization,"If the phase difference between two rays is π/2 and the angle of incidence is equal to π/4, the emergent light is __________","Linearly Polarized",N,"Elliptically Polarized",N,"Circularly Polarized",Y,Non-Polarized,N,"Correct answer is ""Circularly Polarized"""
