grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Which of the following properties applies to x-rays, γ-rays, infra-red, ultra-violet and visible light?","They are all damaging to health",N,"They all have similar wave lengths",N,"They all travel with the same speed in a vacuum",Y,"They are all affected by magnetic fields",N,"Correct answer is ""They all travel with the same speed in a vacuum"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Fingerprints on a piece of paper may be detected by sprinkling fluorescent powder on the paper and then looking it into","Dark light",N,Sunlight,N,"Infra-red light",N,"Ultra-violet light",Y,"Correct answer is ""Ultra-violet light"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","The wave theory of light was proposed by",Galileo,N,Huygens,Y,Keller,N,Newton,N,"Correct answer is ""Huygens"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","The mutual effect of two beams of light resulting in a loss of energy in certain areas and a reinforcement of energy in others is called:",Absorption,N,Emission,N,Interference,Y,Aberration,N,"Correct answer is ""Interference"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Huygens’s theory of light says that light consists of","wave fronts",Y,"minute particle",N,photons,N,"dual nature",N,"Correct answer is ""wave fronts"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Ultra-violet spectrum covers wave length from ","4000 °A to 8000 °A",N,"0 °A to 100 °A",N,"100 °A to 4000 °A",Y,"Above 8000 °A",N,"Correct answer is ""100 °A to 4000 °A"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","If the resultant intensity of the interfering waves is greater than the intensity of an individual wave then interference is	",Constructive,Y,Destructive,N,"Sometimes constructive sometimes destructive",N,"None of the above",N,"Correct answer is ""Constructive"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","A thin layer of oil on the surface of water looks colored due to","Polarization of light",N,"Different elements present in the oil",N,"Interference of light",Y,"The transmission of light",N,"Correct answer is ""Interference of light"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","The phenomenon of interference comes out because waves obey","The impulse moment theorem",N,"The 1st law of thermodynamics",N,"The inverse square law",N,"The principle of superposition",Y,"Correct answer is ""The principle of superposition"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Two waves, which combine to produce a resultant by rein forcing each other at every point are demonstrating","Destructive interference",N,"Constructive interference",Y,Refraction,N,Dispersion,N,"Correct answer is ""Constructive interference"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","When the sources be mono chromatic coherent and close together and the principle of linear super position be applicable the phenomenon taking place will be",refraction,N,reflection,N,interference,Y,diffraction,N,"Correct answer is ""interference"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","One condition for interference is that the two source should be coherent and","close together",Y,"at a far off distance",N,"opposite to each other",N,coinciding,N,"Correct answer is ""close together"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","In interference, the bright fringes are","Wider than the dark fringes",N,"Narrower than the dark fringes",N,"Equal in width to that of dark fringes",Y,"None of these above",N,"Correct answer is ""Equal in width to that of dark fringes"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Every point of a wave front may be considered as a source of secondary __________ which spread out in forward direction with a speed equal to the speed of propagation of wave.","Wave fronts",N,Wavelets,Y,Polarization,N,"None of these",N,"Correct answer is ""Wavelets"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","Ordinary light means_________.","Invisible light",N,"White light",Y,Infrared,N,Ultraviolet,N,"Correct answer is ""White light"""
11,Physics,"Physical Optics","Physical Optics","Huygen's Principle and Interference of light","The fact that energy point on any advancing wave front may be considered as a source of secondary waves which move forward spherical wavelength is a principle attributed to",Faraday,N,Michelson,N,Huygens,Y,Galileo,N,"Correct answer is ""Huygens"""
