grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","Interference, diffraction and polarization of light prove ___________.","particle nature",N,"wave nature",Y,"Both particle nature and wave nature",N,"none of these",N,"Correct answer is ""wave nature"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","The bending of light around an obstacle is called ___________.",reflection,N,diffraction,Y,interference,N,dispersion,N,"Correct answer is ""diffraction"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","Diffraction is a special type of ___________.",reflection,N,refraction,N,interference,Y,polarization,N,"Correct answer is ""interference"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","In ___________ diffraction, distance between point source and screen is finite.",Fraunhofer,N,Fresnel,Y,"both Fraunhofer and Fresnel",N,"none of these",N,"Correct answer is ""Fresnel"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","The property, which enables waves to bend around the edges of an opening or obstacle in its path, is called",Dispersion,N,Diffraction,Y,"Super position",N,Interference,N,"Correct answer is ""Diffraction"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","When a parallel beam light is diffracted at a single slit","The shadow is always sharp",N,"The narrower the slit, the wider the central diffraction maxima",Y,"The width of the central maxima is independent of the width of slit",N,"The width of the central maxima is independent of the width of slit",N,"Correct answer is ""The narrower the slit, the wider the central diffraction maxima"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","Which of the following are types of diffraction?","Interfering and non-interfering",N,"Transparent-semi transparent",N,"Fresnel – faun Hoffer diffraction",Y,"Grating – element diffraction",N,"Correct answer is ""Fresnel – faun Hoffer diffraction"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","Diffraction when a source and screen are very near to the slit, then diffraction is said to be __________ diffraction.",Fresnel,Y,"Frain Hoffer",N,Maxwell,N,Huygens,N,"Correct answer is ""Fresnel"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","What changes are observed in a diffraction pattern if the whole apparatus is immersed in water?","The wavelength of light increases",N,"Width of central maximum increases",N,"Width of central maximum decreases",Y,"Frequency of light decreases",N,"Correct answer is ""Width of central maximum decreases"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","How shall a diffraction pattern change when white light is used instead of a monochromatic light?","The pattern will no longer be visible",N,"The shape of the pattern will change from hyperbolic to circular",N,"The colored pattern will be observed with a white bright fringe at the center",Y,"The bright and dark fringes will change position",N,"Correct answer is ""The colored pattern will be observed with a white bright fringe at the center"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","X-ray crystallography uses which characteristic of light?",Polarization,N,Interference,N,Diffraction,Y,Coherency,N,"Correct answer is ""Diffraction"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","By observing the diffraction patter, the two images are said to be just resolved when ________","The central maxima of one image coincide with central maxima of the other",N,"The central maxima of one do not coincide with central maxima of the other",N,"The central maxima of one image coincides with the first minimum of the other",Y,"The central maxima of one image do not coincide with the first minimum of other",N,"Correct answer is ""The central maxima of one image coincides with the first minimum of the other"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","The main principle used in Interference is _____________","Heisenberg’s Uncertainty Principle",N,"Superposition Principle",Y,"Quantum Mechanics",N,"Fermi Principle",N,"Correct answer is ""Superposition Principle"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","When two waves of same amplitude add constructively, the intensity becomes _____________",Double,N,Half,N,"Four Times",Y,One-Fourth,N,"Correct answer is ""Four Times"""
11,Physics,"Physical Optics","Physical Optics","Diffraction of Light","Zero order fringe can be identified using ____________","White light",Y,"Yellow light",N,"Achromatic light",N,"Monochromatic light",N,"Correct answer is ""White light"""
