grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Which type of protein establishes the matrix of bone and cartilage?",Collagen,Y,Elastin,N,Keratin,N,Histone,N,"Correct answer is ""Collagen"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Which of the following strengthens protective coverings such as hair, nails, feathers, etc",Collagen,N,Elastin,N,Keratin,Y,Histone,N,"Correct answer is ""Keratin"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","_________ is found in RBCs and is essential for oxygen transport",Antibodies,N,Hormones,N,Enzymes,N,Haemoglobin,Y,"Correct answer is ""Haemoglobin"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Which of the following arranges the DNA into chromosome?",Collagen,N,Elastin,N,Keratin,N,Histone,Y,"Correct answer is ""Histone"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Which protein is found in egg white?",Collagen,N,Keratin,N,Ovalbumin,Y,Fibrinogen,N,"Correct answer is ""Ovalbumin"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","____________ are proteins that protect you when an unwanted substance enters your body",Enzymes,N,Hormones,N,Antibodies,Y,Haemoglobin,N,"Correct answer is ""Antibodies"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Protein has ______ basic structures",2,N,3,N,4,Y,7,N,"Correct answer is ""4"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","A linear polypeptide with a specific sequence and number of amino acids is called ","Primary Structure of Protein",Y,"Secondary Structure of Protein",N,"Tertiary Structure of Protein",N,"Quaternary Structure of Protein",N,"Correct answer is ""Primary Structure of Protein"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Tertiary structure is maintained by: ","Peptide bond",N,"Hydrogen bond",N,"Disulphide bond",N,"All of these",Y,"Correct answer is ""All of these"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","The given diagram indicates this structure of protein: <img src=""https://learningpitch.com/storage/images/63a94774524b5.png"">",Primary,N,Secondary,Y,Tertiary,N,Quaternary,N,"Correct answer is ""Secondary"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","In quaternary structure if the participating units are dissimilar, it is called: ","Homogenous quaternary Structure",N,"Heterogenous quaternary Structure",Y,"Secondary structure",N,"Tertiary structure",N,"Correct answer is ""Heterogenous quaternary Structure"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Insulin is an example of: ","Primary Structure of Protein",Y,"Secondary Structure of Protein",N,"Tertiary Structure of Protein",N,"Quaternary Structure of Protein",N,"Correct answer is ""Primary Structure of Protein"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Haemoglobin has:  ","Primary Structure",N,"Secondary Structure",N,"Tertiary Structure",N,"Quaternary Structure",Y,"Correct answer is ""Quaternary Structure"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Actin and myosin are the basic proteins involved in the contractile machinery of our body to which type of proteins do they belong?","Globular proteins",N,"Fibrous Proteins",Y,"Both a and b",N,"None of these",N,"Correct answer is ""Fibrous Proteins"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Enzymes, hormones, and antibodies are: ","Globular proteins",Y,"Fibrous proteins",N,"Both a and b",N,"None of these",N,"Correct answer is ""Globular proteins"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Collagen, fibrinogen, and keratin are: ","Globular proteins",N,"Fibrous Proteins",Y,"Both a and b",N,"None of these",N,"Correct answer is ""Fibrous Proteins"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Antibodies play an important role against microorganisms and other pathogens to which type of proteins do they belong?","Globular proteins",Y,"Fibrous Proteins",N,"Both a and b",N,"None of these",N,"Correct answer is ""Globular proteins"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","Which proteins are insoluble in an aqueous medium? ","Globular proteins",N,"Fibrous Proteins",Y,"Both a and b",N,"None of these",N,"Correct answer is ""Fibrous Proteins"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","____________ proteins is spherical in shape",Globular,Y,Fibrous,N,"Both a and b",N,"None of these",N,"Correct answer is ""Globular"""
11,Biology,"BIOLOGICAL MOLECULES","Proteins ","Proteins ","_________ are soluble in an aqueous medium","Globular proteins",Y,"Fibrous proteins",N,"Both a and b",N,"None of these",N,"Correct answer is ""Globular proteins"""
