grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","At a projectile's highest point, its velocity is __________.",zero,Y,maximum,N,one,N,minimum,N,"Correct answer is ""zero"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","The maximum height h reached by the projectile is equal to _________ of original height.",one-half,Y,one-third,N,one-forth,N,square,N,"Correct answer is ""one-half"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","Projectile motion uniformly accelerated everywhere except at the ____________.","lowest point",N,"zero point",N,"highest point",Y,"none of these",N,"Correct answer is ""highest point"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","If the object's speed is increasing at a fixed rate it is __________ accelerated motion.",non-uniform,N,uniform,Y,"both non-uniform and uniform",N,"none of these",N,"Correct answer is ""uniform"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","The acceleration is zero at maximum height because the _____________ of any projectile at its maximum height is zero.",velocity,N,"instantaneous speed",Y,"average speed",N,"none of these",N,"Correct answer is ""instantaneous speed"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","A horizontal acceleration of zero simply means that there is no change in the __________ velocity of a projectile.",horizontal,Y,vertical,N,average,N,uniform,N,"Correct answer is ""horizontal"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","The projectile launched at ______ has the greatest vertical velocity",45°,N,55°,N,60°,Y,90°,N,"Correct answer is ""60°"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","The direction of motion remains ______ in the case of constant acceleration.",same,Y,different,N,change,N,zero,N,"Correct answer is ""same"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","Horizontal distance traveled can be calculated by:","\(x = V_{x}t\)",Y,"\(x = V_{y}t\)",N,"\(x = V_{x}t^{2}\)",N,"\(x = \frac{V_{x}}{t}\)",N,"Correct answer is ""\(x = V_{x}t\)"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","Vertical distance from the ground is described by the formula:","\(y = h + V_{y}t - \frac{gt^{2}}{2}\)",Y,"\(y = h + V_{y}t\)",N,"\(y = h - \frac{gt^{2}}{2}\)",N,"\(y = V_{y}t - \frac{gt^{2}}{2}\)",N,"Correct answer is ""\(y = h + V_{y}t - \frac{gt^{2}}{2}\)"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","A body of mass 10 kg, projected at an angle of 30° from the ground with an initial velocity of 5 m/s, acceleration due to gravity is g = 10 m/s2, what is the time of flight?",0.866s,Y,"1.86 s",N,"1.96 s",N,"1.862 s",N,"Correct answer is ""0.866s"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","A ball of mass 100 g, projected at an angle of 30° from the ground with an initial velocity of 11 m/s, acceleration due to gravity is g = 10 m/s2, what is the maximum height attained?","1.5 m",Y,"3.0 m",N,"1.0 m",N,"2.0 m",N,"Correct answer is ""1.5 m"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","A bag of mass 1000 g, projected at an angle of 90° from the ground with an initial velocity of 5 m/s, acceleration due to gravity is g = 10 m/s2, what is the maximum height attained?","1.25 m",Y,"3.0 m",N,"1.5 m",N,"2.0 m",N,"Correct answer is ""1.25 m"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","A soccer ball is projected at an angle of 60° from the ground.It attains its maximum height in 10s. Considering acceleration due to gravity as g = 10 m/s2. What is the velocity with which it was projected?","115.5 m/s",Y,"117 m/s",N,"120 m/s",N,"11.55 m/s",N,"Correct answer is ""115.5 m/s"""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","A projectile is fired at an angle of 30° from horizontal with a speed of \(V_{o}\frac{m}{s}\). The height attained by projectile is ","\(\frac{V_{0}^{2}}{2g}\)",N,"\(\frac{V_{0}^{2}}{4g}\)",N,"\(\frac{V_{0}^{2}}{8g}\)",N,"\(\frac{V_{0}^{2}}{6g}\)",N,"Correct answer is """""
11,Physics,"Forces and Motion","Forces and Motion","Projectile Motion(Maximum height and total time of flight)","ANSWER: C",,N,,N,,N,,N,"Correct answer is """""
