grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","Volume is inversely proportional to the pressure at a constant temperature. This is called","Charles’s law",N,"Avogadro’s law",N,"Dalton’s law",N,"Boyle’s Law",Y,"Correct answer is ""Boyle’s Law"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","The Boyle’s law gives ________ in a graph.","Straight line",N,"Parabolic curve",Y,"Hyperbolic curve",N,"All of them",N,"Correct answer is ""Parabolic curve"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","The shape of the tube designed by Robert Boyle is",J-shaped,Y,U-shaped,N,L-shaped,N,none,N,"Correct answer is ""J-shaped"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","According to Boyle’s law, if pressure is doubled at constant temperature, volume will be _______________.","Increase to 4 times",N,"Reduced to half",Y,Doubled,N,"Become zero",N,"Correct answer is ""Reduced to half"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","If the volume of gas is decreased at a constant temperature, the average velocity of the gas molecules remains _________.",Decrease,N,Increase,N,Zero,N,Constant,Y,"Correct answer is ""Constant"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","At constant temperature, in a given mass of an ideal gas","The ratio of pressure and volume always remains constant",N,"Volume always remains constant",N,"Pressure always remains constant",N,"The product of pressure and volume always remains constant",Y,"Correct answer is ""The product of pressure and volume always remains constant"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","Air at sea level is dense. This is a practical application of","Boyle's law",Y,"Charle's law",N,"Avogadro's law",N,"Dalton's law",N,"Correct answer is ""Boyle's law"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","Which of the following statement is false?","The product of pressure and volume of fixed amount of a gas is independent of temperature",Y,"Molecules of different gases have the same K.E. at a given temperature",N,"The gas equation is not valid at high pressure and low temperature",N,"The gas constant per molecule is known as Boltzmann constant",N,"Correct answer is ""The product of pressure and volume of fixed amount of a gas is independent of temperature"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","If P, V, T represent pressure, volume and temperature of the gas, the correct representation of Boyle's law is","V is inversely proportional to T(at constant P)",N,"PV = RT",N,"V inversely proportional to P(at constant T)",Y,"PV =nRT",N,"Correct answer is ""V inversely proportional to P(at constant T)"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","Densities of two gases are in the ratio 1 : 2 and their temperatures are in the ratio 2 : 1, then the ratio of their respective pressures is","1 : 1",Y,"1 : 2",N,"2 : 1",N,"4 : 1",N,"Correct answer is ""1 : 1"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","If pressure becomes double at the same absolute temperature on 2 L \(C{O_2}\), then the volume of \(C{O_2}\) becomes","2 L",N,"4 L",Y,"25 L",N,"1 L",N,"Correct answer is ""4 L"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","Which of the following graph represents Boyle’s Law?","<img src=""https://learningpitch.com/storage/images/63d0bd0a5eb87.png"">",Y,"<img src=""https://learningpitch.com/storage/images/63d0bd0a85740.png"">",N,"<img src=""https://learningpitch.com/storage/images/63d0bd0995894.png"">",N,"None of these",N,"Correct answer is ""<img src=""https://learningpitch.com/storage/images/63d0bd0a5eb87.png"">"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","Let the pressure P and volume V for a certain gas. If the pressure is increased by 25% at a constant temperature, then what would be the volume of the gas?",0.6V,N,0.75V,N,0.8V,Y,0.85V,N,"Correct answer is ""0.8V"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","What is the nature of the pressure-volume (P-V) graph in Boyle’s Law?","Straight Line;",N,Circle:,N,Elliptical;,N,"Rectangular Hyperbola:",Y,"Correct answer is ""Rectangular Hyperbola:"""
11,Chemistry,"States of Matter I: Gases","States of Matter I: Gases","Boyle's Law","What is the nature of the pressure-volume vs Pressure (PV vs P) graph in Boyle’s Law?","Straight Line parallel to P axis",Y,"Straight line parallel to PV axis",N,Elliptical,N,Hyperbola,N,"Correct answer is ""Straight Line parallel to P axis"""
