grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Ethanol can be prepared by the following method:,From water gas,N,Destructive distillation of wood,N,Fermentation of starch,Y,All of these,N,"Correct answer is ""Fermentation of starch"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,The enzyme diastase present in malt hydrolyses starch to:,Maltase,N,Maltose,Y,Glucose,N,Ethanol,N,"Correct answer is ""Maltose"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Hydrolysis of maltose in presence of maltase gives 2 units of:,Glucose and Fructose,N,Fructose and Sucrose,N,Glucose and Glucose,Y,Fructose and Glucose,N,"Correct answer is ""Glucose and Glucose"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Which of these is a common disaccharide?,Fructose,N,Glucose,N,Sucrose,Y,All of these,N,"Correct answer is ""Sucrose"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Enzyme zymase acts on glucose and convert it into:,\(CH_3 OH + CO_2\),N,\(C_2 H_5 OH + CO_2\),Y,\(HCHO + CO_2\),N,\(C_12 H_22 O_11\),N,"Correct answer is ""\(C_2 H_5 OH + CO_2\)"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,"By the process of ____________, 12-14% alcohol is converted into 100% pure alcohol in the presence of CaO.",Pyrolysis,N,Decomposition,N,Distillation,Y,Evaporation,N,"Correct answer is ""Distillation"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Ethyl alcohol containing less than one percent by weight of water is called,Rectified alcohol,N,Absolute alcohol,Y,Denatured alcohol,N,Methylated spirit,N,"Correct answer is ""Absolute alcohol"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Pyroligenous acid is ______________ in nature.,Alkaline,N,Weakly acidic,N,Strongly acidic,Y,Basic,N,"Correct answer is ""Strongly acidic"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Product obtained by the destructive distillation of wood is:,Wood charcoal,N,Pyroligenous acid,N,Volatile inflammable gases,N,All of these,Y,"Correct answer is ""All of these"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Common name of methyl alcohol is:,Marsh gas,N,Wood spirit,Y,Maleic acid,N,Cresol,N,"Correct answer is ""Wood spirit"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,These days methanol is produced by the:,Destructive distillation of wood,N,Fractional distillation of pyroligenous acid,N,Water gas,Y,All of these,N,"Correct answer is ""Water gas"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Water gas is a mixture of:,\(CO_2 + CO\),N,\(CO_2 + H_2\),N,\(CO + H_2\),Y,\(CO_2 + H\),N,"Correct answer is ""\(CO + H_2\)"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Which of the following statements is incorrect regarding preparation of alcohols?,Aldehydes and Ketones on catalytic reduction by [H] give primary alcohol and secondary alcohol respectively,N,Ketones on reaction with Grignard’s reagent gives tertiary alcohol,N,Aldehydes on reaction with Grignard’s reagent gives primary or secondary alcohol,N,Alkyl halides on reaction alcoholic potash gives alcohol,Y,"Correct answer is ""Alkyl halides on reaction alcoholic potash gives alcohol"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,Which of the following steps is not used in the fermentation of starch into ethyl alcohol?,Hydrolysis of starch into maltose by diastase present in barley,N,Conversion of maltose into glucose by maltase present in yeast,N,Conversion of glucose into ethanol by zymase present in yeast,N,Conversion of sucrose into glucose and fructose by sucrase present in yeast,Y,"Correct answer is ""Conversion of sucrose into glucose and fructose by sucrase present in yeast"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Preparation of Alcohols,15% pure ethyl alcohol (wash) on fractional distillation gives 95% ethyl alcohol by weight which is commonly known as which of the following terms?,Wash,N,Absolute alcohol,N,Rectified spirit,Y,Methylated spirit,N,"Correct answer is ""Rectified spirit"""
