grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","Who discovered that two-celled sea urchins if mechanically shock apart turn into separate cells? ","Hans Spemann",N,"Louise pasture",N,"Hans Driesch",Y,"Hans Krebs",N,"Correct answer is ""Hans Driesch"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","In ________Driesch performed an important experiment: the separation of developing sea urchin blastomeres",1789,N,1687,N,1892,Y,1999,N,"Correct answer is ""1892"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","the _________of qualitative cell division, the theory posited that the unequal distribution of cellular material during each cell division caused physical differences in the developmental capacities of each cell","Hardy Weinberg hypothesis",N,"Fluid mosaic hypothesis",N,"Roux-Weismann hypothesis",Y,"theory of evolution",N,"Correct answer is ""Roux-Weismann hypothesis"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development",Anucleate:,"lacking a cell mitochondria",N,"lacking a cell",N,"lacking a cell nucleus",Y,"lacking a cell wall",N,"Correct answer is ""lacking a cell nucleus"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","Spemann placed minutes ligatures of human hair around _________ zygote ",fish,N,salamander,Y,bird,N,mammal,N,"Correct answer is ""salamander"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","_________discovered that if he mechanically shook apart a two-celled sea urchin into separate cells, both half-embryos developed into normal larvae","Hans Driesch",Y,Darwin,N,Spemann,N,Hooke,N,"Correct answer is ""Hans Driesch"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","The role of nucleus in regulating the activities of cytoplasm was studied in a ______________Acetabularia","Unicellular Alga",Y,"Unicellular Fungi",N,Plant,N,Animal,N,"Correct answer is ""Unicellular Alga"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","The role of cytoplasm in controlling the process of development was made clear by experiments on _____________","Frog’s Embryo",Y,"Birds Embryo",N,"Reptiles Embryo",N,"None of these",N,"Correct answer is ""Frog’s Embryo"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","_____________cytoplasm gives rise to muscle cells",Yellow,Y,Clear,N,Gray,N,Green,N,"Correct answer is ""Yellow"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","In ________Driesch performed an important experiment: the separation of developing sea urchin blastomeres",1789,N,1687,N,1892,Y,1999,N,"Correct answer is ""1892"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","Who tested Wilhelm Roux's theory of development, with sea urchins","Hans Driesch",Y,Darwin,N,Hooke,N,Louise,N,"Correct answer is ""Hans Driesch"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","___________ agitated sea urchin embryos at the two- & four-cell stage until they disassociated into separate cells.","Hans Driesch",Y,Darwin,N,Hooke,N,Louise,N,"Correct answer is ""Hans Driesch"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","__________is the process through which a multicellular organism arises from a single cell",Growth,N,Development,Y,"both A and B",N,None,N,"Correct answer is ""Development"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","Hans Driesch used _________to verify Wilhelm Roux's theory of development.",Fishes,N,"sea urchins",Y,frogs,N,reptiles,N,"Correct answer is ""sea urchins"""
12,Biology,"DEVELOPMENT AND AGING","Control of Development","Control of Development","<img src=""https://learningpitch.com/storage/images/63a9856540ede.png""> Identify the experiment ","Hooke’s experiment",N,"Spemann’s experiment",Y,"Darwin’s experiment",N,"Louise’s experiment",N,"Correct answer is ""Spemann’s experiment"""
