grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","After the gestation period which in human beings, lasts about ___________months",9,Y,10,N,11,N,12,N,"Correct answer is ""9"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","__________is the period of time between conception and birth",Gestation,Y,Pregnancy,N,Fertilization,N,Cleavage,N,"Correct answer is ""Gestation"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","________is a state in which a woman carries a fertilized egg inside her body and gives birth to a baby",Gestation,N,Pregnancy,Y,Fertilization,N,Cleavage,N,"Correct answer is ""Pregnancy"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","The _________ is divided into three trimesters",Gestation,N,Pregnancy,Y,Fertilization,N,Cleavage,N,"Correct answer is ""Pregnancy"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","The human __________ period, the duration of pregnancy lasts for about 280 days",Gestation,Y,Pregnancy,N,Fertilization,N,Cleavage,N,"Correct answer is ""Gestation"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Fertilization, blastocyst formation and implantation of blastocysts are included in ","1ST trimester",Y,"2nd trimester",N,"3rd trimester",N,Placenta,N,"Correct answer is ""1ST trimester"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Which of the following comprises development of placenta, extra embryonic layers and major events of organogenesis ","1ST trimester",Y,"2nd trimester",N,"3rd trimester",N,Placenta,N,"Correct answer is ""1ST trimester"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","During the __________, the foetus grows to about 0.6kg and 0.3meter long ","1ST trimester",N,"2nd trimester",Y,"3rd trimester",N,Placenta,N,"Correct answer is ""2nd trimester"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","The _______ is predominantly a period of growth rather than one of development ","1ST trimester",N,"2nd trimester",N,"3rd trimester",Y,Placenta,N,"Correct answer is ""3rd trimester"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","A pregnancy of two or more foetuses is called a ","Unique Pregnancy",N,"Simple Pregnancy",N,"Multiple Pregnancy",Y,"Complex Pregnancy",N,"Correct answer is ""Multiple Pregnancy"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Multiple fetuses can be the:","Same (identical)",N,"Different Types",N,Fraternal,N,"All of these",Y,"Correct answer is ""All of these"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Identical twins or triplets or quadruplets come from a ______that has been fertilized by one sperm therefore also called monozygotic","Single egg",Y,"Multiple eggs",N,"Polylecithal eggs",N,"Alecithal eggs",N,"Correct answer is ""Single egg"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Fraternal twins or triplets or quadruplets come from ________fertilized by different sperms therefore also called dizygotic or multiple zygotic","Single egg",N,"Multiple eggs",Y,"Polylecithal eggs",N,"Alecithal eggs",N,"Correct answer is ""Multiple eggs"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Fraternal foetuses have ","Same placenta",N,"Same amniotic sac",N,"Separate placentas and amniotic sacs",Y,"Same sex",N,"Correct answer is ""Separate placentas and amniotic sacs"""
12,Biology,"DEVELOPMENT AND AGING","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","Gestation, Pregnancy, Twins and Quadruplets, Birth and Nursing","__________ is the first secretion from the mammary glands after giving birth, rich in antibodies.",colostrum,Y,milk,N,lactogen,N,prolactin,N,"Correct answer is ""colostrum"""
