grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","According to Lewis theory, ligands are _______ because they donate electrons.","Lewis base",N,Acid,N,"Lewis acid",Y,Base,N,"Correct answer is ""Lewis acid"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","_________ is a monodentate ligand.",Water,Y,EDTA,N,"Diethylene triamine",N,"Oxalate ion",N,"Correct answer is ""Water"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","The poly and multidentate are also called ______.","Denoting agents",N,"Chelating agents",Y,"Transition complex",N,"None of these",N,"Correct answer is ""Chelating agents"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","In \({\left[ {Fe{{\left( {CN} \right)}_6}} \right]^{4 - }}\), charge on the coordination sphere is ____________.","\( + 6\)",N,"\( + 4\)",N,"\( - 4\)",Y,"\( - 6\)",N,"Correct answer is ""\( - 4\)"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","Electronic configuration of \(Z{n^{2 + }}\) is","\(\left[ {Ar} \right]3{d^1}4{s^2}\;\)",N,"\(\left[ {Ar} \right]3{d^0}4{s^0}\)",N,"\(\left[ {Ar} \right]3{d^{10}}4{s^0}\)",Y,"\(\left[ {Ar} \right]3{d^{10}}4{s^1}\)",N,"Correct answer is ""\(\left[ {Ar} \right]3{d^{10}}4{s^0}\)"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","Electronic configuration of \(S{c^{3 + }}\) is","\(\left[ {Ar} \right]3{d^1}4{s^2}\;\)",N,"\(\left[ {Ar} \right]3{d^0}4{s^0}\)",Y,"\(\left[ {Ar} \right]3{d^{10}}4{s^0}\)",N,"\(\left[ {Ar} \right]3{d^{10}}4{s^1}\)",N,"Correct answer is ""\(\left[ {Ar} \right]3{d^0}4{s^0}\)"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","Why Sc and Zn are not considered as true transition elements?","In Scandium compounds, Sc has completely filled d orbitals",N,"In Scandium compounds, Sc has empty d orbitals",N,"In Zinc compounds, Zn has completely filled d orbitals",N,"B & C",Y,"Correct answer is ""B & C"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","Which of the following statement is correct for atomic size in d orbital?","It increases from left to right and decreases from top to bottom",N,"It decreases from left to right and increases from top to bottom",N,"It increases from top to bottom and decreases from left to right in d block elements at small extent",Y,"All of these",N,"Correct answer is ""It increases from top to bottom and decreases from left to right in d block elements at small extent"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","A chelating agent has two or more than two donor atoms to bind to a single metal ion. Which of the following is not a chelating agent?",Thiosulphato,Y,Oxalato,N,Glycinato,N,"Ethane-1,2-diamine",N,"Correct answer is ""Thiosulphato"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","IUPAC name of \(\left[ {Pt{{\left( {N{H_3}} \right)}_2}Cl\left( {N{O_2}} \right)} \right]\) is","Platinum diamminechloronitrite",N,"Chloronitrito-N-ammineplatinum (II)",N,"Diamminechloridonitrito-N-platinum (II)",Y,"Diamminechloronitrito-N-plantinate (II)",N,"Correct answer is ""Diamminechloridonitrito-N-platinum (II)"""
12,Chemistry,"d and f - Block Elements (Transition Elements)","d and f - Block Elements (Transition Elements)","Nomenclature of Complex Compounds","In the complex \(\left[ {E{{\left( {en} \right)}_2}\left( {{C_2}{O_4}} \right)} \right]N{O_2}\) (where (en) is ethylenediamine) _______are the coordination number and the oxidation state of the element ‘E’ respectively.","6 and 2",N,"2 and 2",N,"4 and 3",N,"6 and 3",Y,"Correct answer is ""6 and 3"""
