grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","The antenna complex consists of ","Accessory pigment",N,Chlorophyll-b,N,Carotenoids,N,"All of these",Y,"Correct answer is ""All of these"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Reaction centre, which contains and ","only chlorophyll-a",N,"associated proteins.",N,"Both A and B",Y,"None of these",N,"Correct answer is ""Both A and B"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","The chlorophyll-a in the reaction centre of PS-I can absorb a maximum _________ wavelength of light",700nm,Y,680nm,N,350nm,N,900nm,N,"Correct answer is ""700nm"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","The chlorophyll-a in the reaction centre of PS-II can absorb a maximum _________ wavelength",700nm,N,680nm,Y,350nm,N,900nm,N,"Correct answer is ""680nm"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","The photosystems are named for the order in which: ","They occur in the thylakoid membrane",N,"They were discovered",Y,"They were found in the chloroplast",N,"They were function",N,"Correct answer is ""They were discovered"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","The complete breakdown of glucose molecule takes place in which of the following? ","Alcoholic fermentation",N,"Lactic acid fermentation",N,"Aerobic respiration",Y,"None of these",N,"Correct answer is ""Aerobic respiration"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Each Krebs’s cycle forms how many molecules of NADH?",3,Y,2,N,4,N,1,N,"Correct answer is ""3"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Which one is not an energy-releasing process? ",Glycolysis,N,Photosynthesis,Y,Respiration,N,"Krebs Cycle",N,"Correct answer is ""Photosynthesis"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","C_6 H_12 O_6+6O_2  →6CO_2+6H_2 O+Energy Represent:",Photosynthesis,N,Respiration,N,"Anaerobic respiration",N,"Aerobic respiration",Y,"Correct answer is ""Aerobic respiration"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Which of the following is a compensation point:","Leaves respire and utilize O2 and release CO2.",N,"Photosynthesis and respiration occur at same rate. So there is not net exchange of gases between atmosphere and plants.",Y,"Rate of photosynthesis increases, so do the O2 production, with a net release of oxygen coupled with the uptake of CO2.",N,"Rate of respiration becomes more than rate of photosynthesis.",N,"Correct answer is ""Photosynthesis and respiration occur at same rate. So there is not net exchange of gases between atmosphere and plants."""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","When a _________is used as an energy source, it breaks down to glycerol and fatty acids",Carbs,N,Protein,N,Fat,Y,"Nucleic acid",N,"Correct answer is ""Fat"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","The hydrolysis of proteins results in: ",Carbs,N,"Amino acids",Y,"Glycerol and fatty acids",N,"Nucleic acid",N,"Correct answer is ""Amino acids"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Deamination: ","the removal of fatty group",N,"the removal of the amino group",Y,"the removal of glycerol",N,"the removal nitrogenous base",N,"Correct answer is ""the removal of the amino group"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","<img src=""https://learningpitch.com/storage/images/63a94de6cb3fd.png""> What does A represent in the given diagram ",Carbs,N,Proteins,Y,Fats,N,"Nucleic acid",N,"Correct answer is ""Proteins"""
11,Biology,BIOENERGETICS,"Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","Photosynthetic pigments Importance of PGAL  Cellular respiration of Fats and Proteins","<img src=""https://learningpitch.com/storage/images/63a94de6cb3fd.png""> What does B represent in the given diagram ",Carbs,N,Proteins,N,Fats,Y,"Nucleic acid",N,"Correct answer is ""Fats"""
